"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 30 23:30:30 UTC 2026","Fri Jan 30 23:30:30 UTC 2026","684","Regression Suite","BookApiTests","tests.books.UpdateBooksTests","tests.books.UpdateBooksTests","verifyUpdateBookWithoutFullFields","verifyUpdateBookWithoutFullFields","Verify  book information can be updated with different field values."
"failed","Fri Jan 30 23:30:30 UTC 2026","Fri Jan 30 23:30:31 UTC 2026","328","Regression Suite","BookApiTests","tests.books.CreateBooksTests","tests.books.CreateBooksTests","verifyCreateInvalids","verifyCreateInvalids","Verify book can NOT be created with different field values"
"failed","Fri Jan 30 23:30:25 UTC 2026","Fri Jan 30 23:30:25 UTC 2026","348","Regression Suite","AuthorApiTests","tests.authors.CreateAuthorTests","tests.authors.CreateAuthorTests","verifyCreateAuthorWithoutFullFields","verifyCreateAuthorWithoutFullFields","Verify that an authors with different field values can be created."
"passed","Fri Jan 30 23:30:28 UTC 2026","Fri Jan 30 23:30:29 UTC 2026","707","Regression Suite","BookApiTests","tests.books.UpdateBooksTests","tests.books.UpdateBooksTests","verifyUpdateInvalidBooks","verifyUpdateInvalidBooks","Verify updating book information -negative scenarios."
"failed","Fri Jan 30 23:30:29 UTC 2026","Fri Jan 30 23:30:30 UTC 2026","705","Regression Suite","BookApiTests","tests.books.UpdateBooksTests","tests.books.UpdateBooksTests","verifyUpdateBookWithoutFullFields","verifyUpdateBookWithoutFullFields","Verify  book information can be updated with different field values."
"failed","Fri Jan 30 23:30:26 UTC 2026","Fri Jan 30 23:30:27 UTC 2026","693","Regression Suite","AuthorApiTests","tests.authors.UpdateAuthorsTests","tests.authors.UpdateAuthorsTests","verifyCreateAuthorWithoutFullFields","verifyCreateAuthorWithoutFullFields","Verify updating author information partially."
"failed","Fri Jan 30 23:30:21 UTC 2026","Fri Jan 30 23:30:25 UTC 2026","4017","Regression Suite","AuthorApiTests","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","verifyGreatedAuthorExistsInAllAuthor","verifyGreatedAuthorExistsInAllAuthor","Verify author exists in authors list."
"passed","Fri Jan 30 23:30:24 UTC 2026","Fri Jan 30 23:30:25 UTC 2026","387","Regression Suite","AuthorApiTests","tests.authors.CreateAuthorTests","tests.authors.CreateAuthorTests","verifyCreateAuthorWithFullFields","verifyCreateAuthorWithFullFields","Verify that an author can be created."
"passed","Fri Jan 30 23:30:28 UTC 2026","Fri Jan 30 23:30:28 UTC 2026","729","Regression Suite","BookApiTests","tests.books.UpdateBooksTests","tests.books.UpdateBooksTests","verifyUpdateBook","verifyUpdateBook","Verify book information  can be updated."
"failed","Fri Jan 30 23:30:24 UTC 2026","Fri Jan 30 23:30:25 UTC 2026","1152","Regression Suite","AuthorApiTests","tests.authors.DeleteAuthorsTests","tests.authors.DeleteAuthorsTests","verifyDeleteExistingAuthorById","verifyDeleteExistingAuthorById","Verify existing author can be deleted."
"failed","Fri Jan 30 23:30:21 UTC 2026","Fri Jan 30 23:30:24 UTC 2026","3190","Regression Suite","AuthorApiTests","tests.authors.GetAuthorsTests","tests.authors.GetAuthorsTests","verifyGetAuthorById","verifyGetAuthorById","Verify get author by id."
"passed","Fri Jan 30 23:30:30 UTC 2026","Fri Jan 30 23:30:30 UTC 2026","349","Regression Suite","BookApiTests","tests.books.CreateBooksTests","tests.books.CreateBooksTests","verifyCreateBookWithFullFields","verifyCreateBookWithFullFields","Verify  book can be created."
"failed","Fri Jan 30 23:30:25 UTC 2026","Fri Jan 30 23:30:25 UTC 2026","374","Regression Suite","AuthorApiTests","tests.authors.CreateAuthorTests","tests.authors.CreateAuthorTests","verifyCreateAuthorWithoutFullFields","verifyCreateAuthorWithoutFullFields","Verify that an authors with different field values can be created."
"passed","Fri Jan 30 23:30:30 UTC 2026","Fri Jan 30 23:30:30 UTC 2026","708","Regression Suite","BookApiTests","tests.books.UpdateBooksTests","tests.books.UpdateBooksTests","verifyUpdateInvalidBooks","verifyUpdateInvalidBooks","Verify updating book information -negative scenarios."
"failed","Fri Jan 30 23:30:28 UTC 2026","Fri Jan 30 23:30:29 UTC 2026","686","Regression Suite","BookApiTests","tests.books.UpdateBooksTests","tests.books.UpdateBooksTests","verifyUpdateBookWithoutFullFields","verifyUpdateBookWithoutFullFields","Verify  book information can be updated with different field values."
"failed","Fri Jan 30 23:30:28 UTC 2026","Fri Jan 30 23:30:29 UTC 2026","1031","Regression Suite","BookApiTests","tests.books.DeleteBooksTests","tests.books.DeleteBooksTests","verifyDeleteExistingBookById","verifyDeleteExistingBookById","Verify existing book can be deleted."
"failed","Fri Jan 30 23:30:25 UTC 2026","Fri Jan 30 23:30:26 UTC 2026","711","Regression Suite","AuthorApiTests","tests.authors.UpdateAuthorsTests","tests.authors.UpdateAuthorsTests","verifyCreateAuthorWithoutFullFields","verifyCreateAuthorWithoutFullFields","Verify updating author information partially."
"passed","Fri Jan 30 23:30:30 UTC 2026","Fri Jan 30 23:30:30 UTC 2026","354","Regression Suite","BookApiTests","tests.books.CreateBooksTests","tests.books.CreateBooksTests","verifyCreateInvalids","verifyCreateInvalids","Verify book can NOT be created with different field values"
"failed","Fri Jan 30 23:30:27 UTC 2026","Fri Jan 30 23:30:28 UTC 2026","713","Regression Suite","AuthorApiTests","tests.authors.UpdateAuthorsTests","tests.authors.UpdateAuthorsTests","verifyCreateInvalidAuthors","verifyCreateInvalidAuthors","Verify  author information cannot be updated."
"failed","Fri Jan 30 23:30:30 UTC 2026","Fri Jan 30 23:30:31 UTC 2026","674","Regression Suite","BookApiTests","tests.books.UpdateBooksTests","tests.books.UpdateBooksTests","verifyUpdateInvalidBooks","verifyUpdateInvalidBooks","Verify updating book information -negative scenarios."
